"key","en",,,"ch","jp","ko","fr","sp","ge","br","ru",,"portrait_animator"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"LOCATIONS","LOCAIS",,,,,,,,,,,,
,,,,,,,,,,,,,
"Date_Location_Title","Local do encontro?","xxxx","2","约会地点？","どこでデートする？","어디에서 데이트 할까요?","Lieu du <nobr>rendez-vous :</nobr>",,"An welchem Ort?","Local do encontro?","Место свидания",,
"Date_Location_TownSquare","Praça da cidade","xxxx","2","镇广场","広場","마을 광장","Place centrale",,"Marktplatz","Praça da cidade","Центральная площадь",,
"Date_Location_EastBeach","Praia do Leste","xxxx","2","东海滩","東の海岸","동쪽 해변","Plage Est",,"Östlicher Strand","Praia do Leste","Восточный пляж",,
"Date_Location_DeepWoods","Profundezas da floresta","xxxx","2","幽深森林","森の奥","깊은 숲","Cœur des bois",,"Tief im Wald","Profundezas da floresta","Глухой лес",,
"Date_Location_LonelyCliffs","Rochedos Solitários","xxxx","2","孤寂悬崖","ロンリー岬","외로운 절벽","Falaises isolées",,"Einsame Klippen","Rochedos Solitários","Одинокие скалы",,
"Date_Location_Bathhouse","Casa de banho","xxxx","1","浴场","芍薬の湯","온천","Bains publics",,"Badehaus","Casa de banho","Купальня",,
"Date_Location_SouthBeach","Praia do Sul","xxxx","2","南海滩","南の海岸","남쪽 해변","Plage Sud",,"Südlicher Strand","Praia do Sul","Южный пляж",,
,,,,,,,,,,,,,
"DATE OPTIONS","OPÇÕES DE DATA",,,,,,,,,,,,
,,,,,,,,,,,,,
"Relationship_Prompt","Buscar relacionamento com (npc)?","xxxx","4","要和(npc)发展恋爱关系吗？","(npc)と正式に付き合う？","(npc) 관계를 진전시키겠습니까?","Entamer une relation amoureuse avec <nobr>(npc) ?</nobr>",,"Beziehung mit (npc) anstreben?","Buscar relacionamento com (npc)?","(npc) — попробовать начать отношения?",,
"Date_Choose_Relationship","Escolher relacionamento","xxxx","2","选择恋爱关系","付き合う","연인 선택","Opter pour une relation amoureuse",,"Beziehung wählen","Escolher relacionamento","Выбрать отношения",,
"Date_Choose_Friendship","Escolher amizade","xxxx","2","选择朋友关系","友だちでいる","우정 선택","Opter pour une relation amicale",,"Freundschaft wählen","Escolher amizade","Выбрать дружбу",,
,,,,,,,,,,,,,
"DATE OPTIONS","OPÇÕES DE DATA",,,,,,,,,,,,
,,,,,,,,,,,,,
"Date_ChooseLocation","Ir em encontro","xxxx","3","去约会","デートに出かける","데이트 하러 가기","Partir en rendez-vous",,"Date vereinbaren","Ir em encontro","Пойти на свидание",,
"Date_ChangeLocation","Trocar local","xxxx","2","更换地点","デート場所を変更","장소 변경","Changer de lieu",,"Ort ändern","Trocar local","Сменить место",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"MOVE IN GENERIC","MOVER EM GENÉRICO",,,,,,,,,,,,
,,,,,,,,,,,,,
