"key","en",,,"ch","jp","ko","fr","sp","ge","br","ru",,"portrait_animator"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"101_URIEL",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"F1_Spring Harvest",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Uriel_interaction_F1_SpringHarvest_1","Ah, não esperava me ver aqui? Eu jamais perderia o festival da Fazenda Takashi! Os legumes e frutas deles combinam muito com minhas carnes!","245","22","见到我是不是很意外？我可不会错过隆志农场的庆典。他们家种的蔬果跟肉搭起来简直绝了！","私と農園で会うとは意外だって？ タカシ・ファームの収穫祭には必ず顔を出しているんだ。ここの野菜や果物は肉との相性が抜群だからな！","뭐야? 내가 여기 있어서 놀란거야? 나는 타카시 네 농장 축제는 절대 빼먹지 않거든. 그 사람들 야채랑 과일은 고기랑 굉장히 잘 어울리니까!","Tu t'attendais pas à me voir ici, je parie. Je ne manquerais le festival de la ferme Takashi pour rien au monde. Leurs fruits et légumes se marient à merveille avec la <nobr>viande !</nobr>",,"Überrascht es dich, mich hier zu sehen? Die Frühlingsernte würde ich mir nie entgehen lassen. Da gibt’s Obst und Gemüse, das gut zu Fleisch passt!","Ah, não esperava me ver aqui? Eu jamais perderia o festival da Fazenda Takashi! Os legumes e frutas deles combinam muito com minhas carnes!","Что, удивил я тебя? Я праздник на ферме «Такаси» никогда не пропускаю. Здесь отличные фрукты и овощи, которые отлично сочетаются с мясом!",,"laugh"
"Uriel_interaction_F1_SpringHarvest_2","Ah, vai lá na Aposta do Fazendeiro me ver depois! Eu vou competir._É divertido ver todo mundo na Aposta, é tanto drama! É como um dos meus programas de dança competitiva, mas ao vivo!","245","35","你好！今天有空的话来玩农夫对局吧，我也会上场比一把！_大家玩农夫对局的时候可精彩了，紧张得跟我平时看的竞技舞蹈节目似的！","やあ。ラッキー・ハーベストをプレイするなら、私ともひと勝負しようじゃないか！_手に汗握るドラマがあって面白いぞ！ ダンス競技の番組を観てるときのように胸が躍るもんさ。","헤이, 오늘 들리게 되면, '농부의 내기' 테이블에서 나를 볼 수 있을거야! 참가할 거거든._사람들이 농부의 내기를 하는 걸 보면 참 재밌어. 드라마틱하지! 내가 좋아하는 댄스 경연 쇼를 보는 것 같다니까.","###############################################################################################################################################################################################################################################################",,"Hey, machst du heute auch bei der Bauernwette mit? Ich werde dort sein!_Die Bauernwette sorgt immer für dramatische Szenen. So spannend! Als würde ich mir einen meiner geliebten Tanzwettbewerbe anschauen.","Ah, vai lá na Aposta do Fazendeiro me ver depois! Eu vou competir._É divertido ver todo mundo na Aposta, é tanto drama! É como um dos meus programas de dança competitiva, mas ao vivo!","Играешь в сельский заклад? Тогда увидимся на турнире, я точно приду!_Так интересно наблюдать за играми! Драма похлеще танцевальных реалити-шоу!",,
"Uriel_interaction_F1_SpringHarvest_3",,"245",,,,,,,,,,,
,,,,,,,,,,,,,
"F2_Seuqoia Picnic",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Uriel_interaction_F2_SequoiaPicnic_1",,"245",,,,,,,,,,,
"Uriel_interaction_F2_SequoiaPicnic_2",,"245",,,,,,,,,,,
